question,answer
سؤال 1--, اگر فقيهي داراي علومي غير از فقه و اصولباشد سبب ترجيح او در مقام تقليد مي شود؟جواب:
سؤال 2--, آيا مي توان از مجتهد مرده تقليد نمود؟جواب:
سؤال 3--, كسي كه بدون اجازه مجتهد زنده به تقليد ميّت باقي مانده است اعمالي كه انجام داده چه حكمي دارد؟جواب:
سؤال 4--, در چه مسائلي مي توان به فتواي مجتهدي كه از دنيا رفته عمل نمود؟جواب:
سؤال 5--, تفاوت بين فتوا و حكم از كجا سرچشمه مي گيرد كه فتوا فقط بر مقلّدين لازم العمل است اما حكم بر جميع افراد؟ اگر دو فقيه احكام مختلف دهند چه وضعي پيش مي آيد؟ اصلا فقيهي كه حاكميّت عامّه ندارد آيا حكمش بر امّت نافذ است؟جواب:
سؤال 6--, آيا در اين عصر كه مسائل و مشكلات زندگي انسانها بسيار گسترده و پيچيده شده و قدرت يافتن بر استنباط احكام اين مسائل نياز به احاطه بر علوم و اطّلاعات گسترده اي دارد كسي مي تواند به رتبه اجتهاد مطلق نائل شود؟جواب:
سؤال 7--, اگر مرجع تقليد يا مجتهدي احساس كند كه شرايط مرجعيّت يا اجتهاد را از دست داده آيا لازم است كه اعلام كند؟جواب:
سؤال 8--, اگر انسان بتواند تشخيص دهد كه فلان مرجع از نظر مباني اصولي قويتر است آيا اين تشخيص، در اعلم بودن آن مرجع دخيل است؟جواب:
سؤال 9--, آيا كسي كه مي خواهد عمل به احتياط بنمايد مي تواند مثلا احتياطات بيع را از فلان مرجع و احتياطات صلاه را از مرجع ديگر اخذ كند؟جواب:
سؤال 10--, آيا كسي كه عمل به احتياط مي كند بايد احكام صادره از مجتهدين ميّت را هم لحاظ دارد؟جواب:
سؤال 11--, آيا تصريح به جواز عمل به رساله كه معمولا در ابتداي رساله هانوشته مي شود به معناي نفي ديگران است؟ و آيا مردم نسبت به مرجعي كه ناشناخته مانده چون قدرت بيان نداشته است مسئول هستند؟جواب:
سؤال 12--, چنانچه بين قانون مصوّب و لازم الاجراي جمهوري اسلامي (كه از كلّيه مراحل تصويب مجلس و تأييد شوراي نگهبان و غيره گذشته است) با فتواي مراجع تقليد تفاوت وجود داشته باشد وظيفه قاضي مقلّد چيست؟جواب:
